action,ticker,quantity,price,state,date,type,time_in_force,category,opening_strategy,closing_strategy,total,account
debit,BUD,1.0,108.43,filled,2018-04-03 18:48:12.381000+00:00,market,gfd,stock,,,108.43,ROBINHOOD
debit,DVN,6.0,30.89,filled,2018-04-03 18:40:15.490000+00:00,market,gfd,stock,,,185.34,ROBINHOOD
credit,MU,6.0,50.99,filled,2018-04-03 18:38:44.576000+00:00,market,gfd,stock,,,305.94,ROBINHOOD
credit,BAC,1.0,0.12,paid,2018-03-30 00:00:00,,,dividends,,,0.12,ROBINHOOD
debit,MU,3.0,60.95,filled,2018-03-20 16:36:43.382000+00:00,market,gfd,stock,,,182.85000000000002,ROBINHOOD
credit,ETP,10.0,16.29,filled,2018-03-20 16:36:00.179000+00:00,market,gfd,stock,,,162.89999999999998,ROBINHOOD
credit,XOM,1.0,0.77,paid,2018-03-09 00:00:00,,,dividends,,,0.77,ROBINHOOD
credit,MSFT,3.0,0.42,paid,2018-03-08 00:00:00,,,dividends,,,1.26,ROBINHOOD
credit,SBUX,2.0,0.3,paid,2018-02-23 00:00:00,,,dividends,,,0.6,ROBINHOOD
credit,ETP,10.0,0.565,paid,2018-02-14 00:00:00,,,dividends,,,5.6499999999999995,ROBINHOOD
debit,XOM,1.0,80.96,filled,2018-02-05 17:47:21.126000+00:00,market,gfd,stock,,,80.96,ROBINHOOD
debit,BMRN,1.0,89.8,filled,2018-02-05 17:44:35.508000+00:00,market,gfd,stock,,,89.8,ROBINHOOD
debit,ETP,10.0,19.279,filled,2018-02-05 17:43:06.608000+00:00,market,gfd,stock,,,192.79,ROBINHOOD
debit,SBUX,2.0,55.89,filled,2018-02-05 17:41:51.509000+00:00,market,gfd,stock,,,111.78,ROBINHOOD
debit,MSFT,2.0,91.94,filled,2018-02-05 17:41:09.013000+00:00,market,gfd,stock,,,183.88,ROBINHOOD
debit,MU,5.0,40.91,filled,2018-02-05 17:40:50.708000+00:00,market,gfd,stock,,,204.54999999999998,ROBINHOOD
credit,BAC,1.0,0.12,paid,2017-12-29 00:00:00,,,dividends,,,0.12,ROBINHOOD
credit,MSFT,1.0,0.42,paid,2017-12-14 00:00:00,,,dividends,,,0.42,ROBINHOOD
credit,F,1.0,0.15,paid,2017-12-01 00:00:00,,,dividends,,,0.15,ROBINHOOD
debit,MSFT,1.0,84.31,filled,2017-11-06 14:53:25.072000+00:00,limit,gfd,stock,,,84.31,ROBINHOOD
credit,BAC,1.0,27.67,filled,2017-11-06 14:52:44.283000+00:00,market,gfd,stock,,,27.67,ROBINHOOD
credit,F,1.0,12.34,filled,2017-11-06 14:52:34.497000+00:00,market,gfd,stock,,,12.34,ROBINHOOD
credit,GM,1.0,42.0,filled,2017-11-06 14:52:22.673000+00:00,market,gfd,stock,,,42.0,ROBINHOOD
debit,BAC,2.0,27.88,filled,2017-10-26 15:44:42.073000+00:00,market,gfd,stock,,,55.76,ROBINHOOD
credit,GRPN,1.0,4.62,filled,2017-10-26 15:44:29.957000+00:00,market,gfd,stock,,,4.62,ROBINHOOD
credit,GM,1.0,45.22,filled,2017-10-26 15:43:49.562000+00:00,market,gfd,stock,,,45.22,ROBINHOOD
debit,F,1.0,12.31,filled,2017-10-03 18:09:26.524000+00:00,market,gfd,stock,,,12.31,ROBINHOOD
credit,RRC,1.0,20.03,filled,2017-10-03 18:08:01.315000+00:00,market,gfd,stock,,,20.03,ROBINHOOD
credit,RRC,1.0,0.02,paid,2017-09-29 00:00:00,,,dividends,,,0.02,ROBINHOOD
debit,GM,2.0,38.87,filled,2017-09-14 18:50:20.782000+00:00,limit,gfd,stock,,,77.74,ROBINHOOD
credit,GE,3.0,24.0867,filled,2017-09-14 17:43:20.790000+00:00,market,gfd,stock,,,72.2601,ROBINHOOD
debit,RRC,1.0,18.4,filled,2017-09-05 15:01:06.333000+00:00,market,gfd,stock,,,18.4,ROBINHOOD
debit,GE,3.0,24.87,filled,2017-09-05 14:58:43.869000+00:00,market,gfd,stock,,,74.61,ROBINHOOD
